team,matches_played,wins,draws,losses,win_pct,points_pct
Brazil,114,76,19,19,66.7,75.0
Germany,56,37,7,12,66.1,72.3
West Germany,56,31,14,11,55.4,67.9
Netherlands,55,30,14,11,54.5,67.3
Italy,83,45,21,17,54.2,66.9
Argentina,88,47,17,24,53.4,63.1
France,73,39,14,20,53.4,63.0
Türkiye,10,5,1,4,50.0,55.0
Portugal,35,17,6,12,48.6,57.1
Soviet Union,31,15,6,10,48.4,58.1
Hungary,32,15,3,14,46.9,51.6
Spain,67,31,17,19,46.3,59.0
Poland,38,17,6,15,44.7,52.6
Croatia,30,13,8,9,43.3,56.7
England,74,32,22,20,43.2,58.1
Uruguay,59,25,13,21,42.4,53.4
Yugoslavia,33,14,7,12,42.4,53.0
Senegal,12,5,3,4,41.7,54.2
Austria,29,12,4,13,41.4,48.3
Belgium,51,21,10,20,41.2,51.0
