team,total_goals_for,total_goals_against,goal_difference,avg_goals_per_match
Brazil,237.0,108.0,129.0,2.08
Argentina,152.0,101.0,51.0,1.73
France,136.0,85.0,51.0,1.86
Italy,128.0,77.0,51.0,1.54
Germany,126.0,67.0,59.0,2.25
Spain,108.0,75.0,33.0,1.61
West Germany,106.0,63.0,43.0,1.89
England,104.0,68.0,36.0,1.41
Netherlands,96.0,52.0,44.0,1.75
Uruguay,89.0,76.0,13.0,1.51
Hungary,87.0,57.0,30.0,2.72
Sweden,80.0,73.0,7.0,1.57
Belgium,69.0,74.0,-5.0,1.35
Mexico,62.0,101.0,-39.0,1.03
Portugal,61.0,41.0,20.0,1.74
Yugoslavia,55.0,42.0,13.0,1.67
Switzerland,55.0,73.0,-18.0,1.34
Soviet Union,53.0,34.0,19.0,1.71
Poland,49.0,50.0,-1.0,1.29
Czechoslovakia,44.0,45.0,-1.0,1.47
